30400,78,129600,78,129600,288,30400,288
436800,90,460800,90,460800,270,436800,270
278400,96,297600,96,297600,264,278400,264
328000,84,392000,84,392000,282,328000,282
166400,90,228800,90,228800,282,166400,282
232000,102,272000,102,272000,288,232000,288
392000,102,433600,102,433600,288,392000,288
59200,414,102400,414,102400,612,59200,612
366400,414,424000,414,424000,618,366400,618
206400,420,264000,420,264000,618,206400,618
25600,744,73600,744,73600,954,25600,954
63524,752,135594,740,138065,944,65995,956
366400,744,425600,744,425600,960,366400,960
209600,762,230400,762,230400,948,209600,948
228800,756,264000,756,264000,954,228800,954
52800,1062,110400,1062,110400,1272,52800,1272
200277,1065,273440,1074,271670,1280,198508,1271
360000,1068,430400,1068,430400,1272,360000,1272
20800,1398,142400,1398,142400,1602,20800,1602
368000,1398,424000,1398,424000,1602,368000,1602
208000,1404,264000,1404,264000,1602,208000,1602
54400,1728,104000,1728,104000,1944,54400,1944
360000,1734,432000,1734,432000,1944,360000,1944
228800,1746,262400,1746,262400,1938,228800,1938
211200,1758,228800,1758,228800,1920,211200,1920
24000,2058,76800,2058,76800,2274,24000,2274
68800,2070,136000,2070,136000,2274,68800,2274
208000,2070,264000,2070,264000,2274,208000,2274
366400,2070,424000,2070,424000,2274,366400,2274
