area,bbox,category_id,ignore,image_id,iscrowd,segmentation,file_name,width,height
202208.0,"[112, 93, 568, 356]",1,0,1,0,"[[112, 93, 112, 449, 680, 449, 680, 93]]",cTDaR_t10000.jpg,794.0,1059.0
69993.0,"[43, 174, 707, 99]",1,0,2,0,"[[43, 174, 43, 273, 750, 273, 750, 174]]",cTDaR_t10001.jpg,794.0,1123.0
43834.0,"[43, 345, 707, 62]",1,0,2,0,"[[43, 345, 43, 407, 750, 407, 750, 345]]",cTDaR_t10001.jpg,794.0,1123.0
79184.0,"[43, 445, 707, 112]",1,0,2,0,"[[43, 445, 43, 557, 750, 557, 750, 445]]",cTDaR_t10001.jpg,794.0,1123.0
50904.0,"[43, 692, 707, 72]",1,0,2,0,"[[43, 692, 43, 764, 750, 764, 750, 692]]",cTDaR_t10001.jpg,794.0,1123.0
52772.0,"[606, 644, 316, 167]",1,0,3,0,"[[606, 644, 606, 811, 922, 811, 922, 644]]",cTDaR_t10002.jpg,1061.0,1373.0
162944.0,"[128, 174, 536, 304]",1,0,4,0,"[[128, 174, 128, 478, 664, 478, 664, 174]]",cTDaR_t10003.jpg,794.0,1059.0
118992.0,"[128, 679, 536, 222]",1,0,4,0,"[[128, 679, 128, 901, 664, 901, 664, 679]]",cTDaR_t10003.jpg,794.0,1059.0
80145.0,"[52, 112, 685, 117]",1,0,5,0,"[[52, 112, 52, 229, 737, 229, 737, 112]]",cTDaR_t10004.jpg,797.0,1124.0
78660.0,"[51, 256, 684, 115]",1,0,5,0,"[[51, 256, 51, 371, 735, 371, 735, 256]]",cTDaR_t10004.jpg,797.0,1124.0
88236.0,"[52, 388, 684, 129]",1,0,5,0,"[[52, 388, 52, 517, 736, 517, 736, 388]]",cTDaR_t10004.jpg,797.0,1124.0
97128.0,"[52, 533, 684, 142]",1,0,5,0,"[[52, 533, 52, 675, 736, 675, 736, 533]]",cTDaR_t10004.jpg,797.0,1124.0
47196.0,"[52, 738, 684, 69]",1,0,5,0,"[[52, 738, 52, 807, 736, 807, 736, 738]]",cTDaR_t10004.jpg,797.0,1124.0
143640.0,"[52, 823, 684, 210]",1,0,5,0,"[[52, 823, 52, 1033, 736, 1033, 736, 823]]",cTDaR_t10004.jpg,797.0,1124.0
397600.0,"[112, 237, 568, 700]",1,0,6,0,"[[112, 237, 112, 937, 680, 937, 680, 237]]",cTDaR_t10005.jpg,794.0,1059.0
213968.0,"[63, 137, 688, 311]",1,0,7,0,"[[63, 137, 63, 448, 751, 448, 751, 137]]",cTDaR_t10006.jpg,816.0,1056.0
86961.0,"[43, 99, 707, 123]",1,0,8,0,"[[43, 99, 43, 222, 750, 222, 750, 99]]",cTDaR_t10007.jpg,794.0,1123.0
138024.0,"[112, 145, 568, 243]",1,0,9,0,"[[112, 145, 112, 388, 680, 388, 680, 145]]",cTDaR_t10008.jpg,794.0,1059.0
191416.0,"[112, 547, 568, 337]",1,0,9,0,"[[112, 547, 112, 884, 680, 884, 680, 547]]",cTDaR_t10008.jpg,794.0,1059.0
90816.0,"[63, 211, 688, 132]",1,0,10,0,"[[63, 211, 63, 343, 751, 343, 751, 211]]",cTDaR_t10009.jpg,816.0,1056.0
87376.0,"[63, 364, 688, 127]",1,0,10,0,"[[63, 364, 63, 491, 751, 491, 751, 364]]",cTDaR_t10009.jpg,816.0,1056.0
279501.0,"[102, 282, 617, 453]",1,0,11,0,"[[102, 282, 102, 735, 719, 735, 719, 282]]",cTDaR_t10010.jpg,816.0,1056.0
484412.0,"[48, 182, 698, 694]",1,0,12,0,"[[48, 182, 48, 876, 746, 876, 746, 182]]",cTDaR_t10011.jpg,794.0,1123.0
415720.0,"[149, 231, 760, 547]",1,0,13,0,"[[149, 231, 149, 778, 909, 778, 909, 231]]",cTDaR_t10012.jpg,1061.0,1373.0
38528.0,"[63, 588, 688, 56]",1,0,14,0,"[[63, 588, 63, 644, 751, 644, 751, 588]]",cTDaR_t10013.jpg,816.0,1056.0
70176.0,"[63, 763, 688, 102]",1,0,14,0,"[[63, 763, 63, 865, 751, 865, 751, 763]]",cTDaR_t10013.jpg,816.0,1056.0
311272.0,"[27, 119, 1066, 292]",1,0,15,0,"[[27, 119, 27, 411, 1093, 411, 1093, 119]]",cTDaR_t10014.jpg,1123.0,794.0
53865.0,"[86, 587, 945, 57]",1,0,15,0,"[[86, 587, 86, 644, 1031, 644, 1031, 587]]",cTDaR_t10014.jpg,1123.0,794.0
224257.0,"[87, 342, 407, 551]",1,0,16,0,"[[87, 342, 87, 893, 494, 893, 494, 342]]",cTDaR_t10015.jpg,1061.0,1373.0
293865.0,"[60, 112, 685, 429]",1,0,17,0,"[[60, 112, 60, 541, 745, 541, 745, 112]]",cTDaR_t10016.jpg,797.0,1124.0
138168.0,"[59, 579, 684, 202]",1,0,17,0,"[[59, 579, 59, 781, 743, 781, 743, 579]]",cTDaR_t10016.jpg,797.0,1124.0
261126.0,"[165, 461, 534, 489]",1,0,18,0,"[[165, 461, 165, 950, 699, 950, 699, 461]]",cTDaR_t10017.jpg,794.0,1078.0
89512.0,"[62, 95, 668, 134]",1,0,19,0,"[[62, 95, 62, 229, 730, 229, 730, 95]]",cTDaR_t10018.jpg,794.0,1123.0
419594.0,"[109, 273, 574, 731]",1,0,19,0,"[[109, 273, 109, 1004, 683, 1004, 683, 273]]",cTDaR_t10018.jpg,794.0,1123.0
196308.0,"[109, 95, 574, 342]",1,0,20,0,"[[109, 95, 109, 437, 683, 437, 683, 95]]",cTDaR_t10019.jpg,794.0,1123.0
168756.0,"[109, 731, 574, 294]",1,0,20,0,"[[109, 731, 109, 1025, 683, 1025, 683, 731]]",cTDaR_t10019.jpg,794.0,1123.0
166424.0,"[112, 685, 568, 293]",1,0,21,0,"[[112, 685, 112, 978, 680, 978, 680, 685]]",cTDaR_t10020.jpg,794.0,1059.0
231744.0,"[112, 257, 568, 408]",1,0,22,0,"[[112, 257, 112, 665, 680, 665, 680, 257]]",cTDaR_t10021.jpg,794.0,1059.0
297632.0,"[112, 92, 568, 524]",1,0,23,0,"[[112, 92, 112, 616, 680, 616, 680, 92]]",cTDaR_t10022.jpg,794.0,1059.0
